name	id	birth	age	diff
TE_g750_age250_C86	C86	750	250	250
TE_g750_age250_C80	C80	750	250	251
TE_g750_age250_C100	C100	750	250	255
TE_g750_age250_C97	C97	750	250	259
TE_g750_age250_C78	C78	750	250	260
TE_g750_age250_C81	C81	750	250	260
TE_g750_age250_C91	C91	750	250	265
TE_g750_age250_C95	C95	750	250	266
TE_g750_age250_C90	C90	750	250	268
TE_g750_age250_C79	C79	750	250	269
TE_g750_age250_C93	C93	750	250	269
TE_g750_age250_C77	C77	750	250	270
TE_g750_age250_C84	C84	750	250	272
TE_g750_age250_C92	C92	750	250	272
TE_g750_age250_C76	C76	750	250	273
TE_g750_age250_C89	C89	750	250	274
TE_g750_age250_C96	C96	750	250	274
TE_g750_age250_C98	C98	750	250	274
TE_g750_age250_C83	C83	750	250	275
TE_g750_age250_C82	C82	750	250	276
TE_g750_age250_C87	C87	750	250	277
TE_g750_age250_C99	C99	750	250	278
TE_g750_age250_C88	C88	750	250	288
TE_g750_age250_C94	C94	750	250	290
TE_g750_age250_C85	C85	750	250	297
TE_g500_age500_C66	C66	500	500	271
TE_g500_age500_C74	C74	500	500	276
TE_g500_age500_C64	C64	500	500	277
TE_g500_age500_C63	C63	500	500	278
TE_g500_age500_C60	C60	500	500	279
TE_g500_age500_C68	C68	500	500	280
TE_g500_age500_C62	C62	500	500	282
TE_g500_age500_C75	C75	500	500	282
TE_g500_age500_C56	C56	500	500	283
TE_g500_age500_C54	C54	500	500	284
TE_g500_age500_C70	C70	500	500	284
TE_g500_age500_C59	C59	500	500	286
TE_g500_age500_C73	C73	500	500	288
TE_g500_age500_C65	C65	500	500	290
TE_g500_age500_C72	C72	500	500	290
TE_g500_age500_C71	C71	500	500	291
TE_g500_age500_C67	C67	500	500	292
TE_g500_age500_C57	C57	500	500	293
TE_g500_age500_C58	C58	500	500	293
TE_g500_age500_C51	C51	500	500	294
TE_g500_age500_C69	C69	500	500	294
TE_g500_age500_C61	C61	500	500	295
TE_g500_age500_C53	C53	500	500	298
TE_g500_age500_C55	C55	500	500	302
TE_g500_age500_C52	C52	500	500	305
TE_g250_age750_C50	C50	250	750	278
TE_g250_age750_C38	C38	250	750	279
TE_g250_age750_C27	C27	250	750	281
TE_g250_age750_C40	C40	250	750	282
TE_g250_age750_C26	C26	250	750	283
TE_g250_age750_C33	C33	250	750	286
TE_g250_age750_C43	C43	250	750	289
TE_g250_age750_C41	C41	250	750	290
TE_g250_age750_C32	C32	250	750	291
TE_g250_age750_C28	C28	250	750	292
TE_g250_age750_C44	C44	250	750	292
TE_g250_age750_C46	C46	250	750	292
TE_g250_age750_C29	C29	250	750	293
TE_g250_age750_C35	C35	250	750	293
TE_g250_age750_C39	C39	250	750	293
TE_g250_age750_C37	C37	250	750	295
TE_g250_age750_C30	C30	250	750	296
TE_g250_age750_C49	C49	250	750	297
TE_g250_age750_C31	C31	250	750	299
TE_g250_age750_C45	C45	250	750	304
TE_g250_age750_C48	C48	250	750	304
TE_g250_age750_C36	C36	250	750	305
TE_g250_age750_C47	C47	250	750	305
TE_g250_age750_C42	C42	250	750	306
TE_g250_age750_C34	C34	250	750	310
TE_g0_age1000_C5	C5	0	1000	253
TE_g0_age1000_C14	C14	0	1000	265
TE_g0_age1000_C11	C11	0	1000	267
TE_g0_age1000_C12	C12	0	1000	276
TE_g0_age1000_C9	C9	0	1000	279
TE_g0_age1000_C16	C16	0	1000	281
TE_g0_age1000_C15	C15	0	1000	283
TE_g0_age1000_C7	C7	0	1000	284
TE_g0_age1000_C23	C23	0	1000	284
TE_g0_age1000_C19	C19	0	1000	290
TE_g0_age1000_C4	C4	0	1000	291
TE_g0_age1000_C18	C18	0	1000	291
TE_g0_age1000_C13	C13	0	1000	292
TE_g0_age1000_C24	C24	0	1000	292
TE_g0_age1000_C10	C10	0	1000	295
TE_g0_age1000_C21	C21	0	1000	295
TE_g0_age1000_C17	C17	0	1000	296
TE_g0_age1000_C6	C6	0	1000	297
TE_g0_age1000_C20	C20	0	1000	297
TE_g0_age1000_C22	C22	0	1000	298
TE_g0_age1000_C8	C8	0	1000	299
TE_g0_age1000_C25	C25	0	1000	300
TE_g0_age1000_C1	C1	0	1000	301
TE_g0_age1000_C2	C2	0	1000	304
TE_g0_age1000_C3	C3	0	1000	305
